/Header/,
,
This is a demo store. Any orders placed through this store will not be honored or fulfilled.,Ovo je DEMO internet prodavnica. Za vreme test faze narudžbe neće biti obrađene i naručeni artikli neće biti isporučeni.
login,Prijava
Log In,Prijava
Log Out,Odjava
Signup,Registracija
Register,Registracija
or,ili
My Account,Moj Nalog
My Wishlist,Moja Lista
My Cart,Moja Korpa
Checkout,Naplata
You have no items in your shopping cart.,Korpa je prazna.
Search entire store here...,Unesite pojam za pretragu...
Search,Pretraga
Advanced Search,Detaljna Pretraga
Allow,Slažem se
,
/Login or Create an Account/,
,
Login or Create an Account,Ulogujte se ili registrujte nov nalog
New Customers,Za nove članove
Registered Customers,Za registrovane članove
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Registrovanjem naloga u našoj prodavnici svaka naredna kupovina će biti brža, jer će Vaši podaci, adrese i kontakti već biti snimljeni u našoj bazi. Možete snimiti više različitih adresa na koje želite da imate isporuke. Pratićete status svake Vaše narudžbe u okviru posebne stranice sa Vašim nalogom i podacima. Vaš nalog je dostupan u svakom momentu. Svi podaci su sigurni i u potpunosti se poštuje Vaša privatnost. Uvek ih možete promeniti, kao i druge razne opcije koje se nude u okviru Vašeg naloga."
Create an Account,Registrujte nov nalog
"If you have an account with us, please log in.","Ukoliko imate registrovan nalog, unesite potrebne podatke."
Email Address,Email adresa
Please enter a valid email address. For example johndoe@domain.com.,Unesite email adresu u odgovarajućem formatu. Npr.  johndoe@domain.com.
Password,Šifra
Confirm Password,Ponovite šifru
Forgot Your Password?,Zaboravili ste šifru?
* Required Fields,* Obavezna polja
Personal Information,Lični podaci
First Name,Ime
Last Name,Prezime
Sign Up for Newsletter,Želim da primam Newsletter
Address Information,Podaci o adresi
Street Address,Ulica i broj
Login Information,Kreiranje šifre
Please enter 6 or more characters. Leading or trailing spaces will be ignored.,Unesite 6 ili više karaktera. Prazna mesta će biti ignorisana.
Please make sure your passwords match.,Unešena šifra ne odgovara originalu.
Submit,Potvrdi
Back,Nazad
Retrieve your password here,Resetujte Vašu šifru ovde
Please enter your email address below. You will receive a link to reset your password.,Molimo Vas da unesete Vašu email adresu sa kojom ste registrovali nalog. Na tu adresu ćemo poslati link za resetovanje Vaše šifre.
Back to Login,Nazad na login
,
/My dashboard/,
,
Thank you for registering with %s.,Hvala Vam što ste registrovali nalog kod nas.
The account information has been saved.,Informacije o nalogu su snimljene.
The subscription has been saved.,Prijava je snimljena.
The subscription has been removed.,Odjava je snimljena.
The address has been saved.,Adresa je snimljena.
An error occurred while saving your subscription.,Za vreme snimanja Vaše prijave došlo je do greške. Molimo Vas da pokušate ponovo.
You are now logged out,Uspešno ste se odlogovali
You have logged out and will be redirected to our homepage in %s seconds.,Sada ste odlogovani i za %s sekundi će se otvoriti početna stranica.
My Dashboard,Moj Nalog
"Hello, %s!",Dobrodošli/a %s!
From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.,"Na stranici 'Moj Nalog' možete pratiti statuse Vaših narudžbi, izvršiti pregled Vaših nedavnih aktivnosti u Internet prodavnici i po potrebi promeniti Vaše podatke."
Account Dashboard,Osnovne Informacije
Account Information,Informacije o Nalogu
Edit,Izmeni
Change Password,Promeni Šifru
Newsletters,Newsletter
You are currently not subscribed to any newsletter.,Trenutno niste prijavljeni na listu za primenje newsletter-a.
You are currently subscribed to 'General Subscription'.,Trenutno ste prijavljeni na listu za primenje newsletter-a.
Address Book,Adresar
Manage Addresses,Upravljanje Adresama
Default Billing Address,Osnovna Adresa za Naplatu
Default Shipping Address,Osnovna Adresa za Isporuku
Edit Address,Izmeni Adresu
Save Address,Snimi Adresu
Add New Address,Dodaj Novu Adresu
Default Addresses,Osnovne Adrese
Change Billing Address,Izmeni Adresu za Naplatu
Change Shipping Address,Izmeni Adresu za Isporuku
Additional Address Entries,Unete Dodatne Adrese
You have no additional address entries in your address book.,Niste uneli dodatne adrese u Vaš adresar.
Delete Address,Obriši Adresu
Edit Account Information,Izmena Informacija o Nalogu
Save,Snimi
Current Password,Postojeća Šifra
New Password,Nova Šifra
Confirm New Password,Ponovite Novu Šifru
Newsletter Subscription,Prijava/Odjava za Newsletter
General Subscription,Želim da primam Newsletter
My Orders,Moje Narudžbe
You have placed no orders.,Do sada niste ništa naručili.
Newsletter Subscriptions,Newsletter
You have no items in your wishlist.,Nemate ubačenih artikala u Listu Želja.
